isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
CH0010570767,LISP,10189503W,0.0007037278082535,CHE,BBG000BC5L53,,SW,-0.0159908623643632,-0.029085381605458482,-1.1253214523756695e-05,-2.046819184942596e-05,False
GB00B0SWJX34,LSEG,24670601W,0.0002027918245598,GBR,BBG000BC8564,,LN,-0.09444444444444444,-0.10059885252764023,-1.9152561208425555e-05,-2.040062485270241e-05,False
US3453708600,F,00483901,0.0004749513434534,USA,BBG000BQPC32,,US,-0.042324246771879515,-0.042324246771879515,-2.0101957864957402e-05,-2.0101957864957402e-05,False
AU000000STO6,STO,10016501W,-0.0003001692610954,AUS,BBG000BQKQ90,,AU,0.07248280099760263,0.06679530773846643,-2.1757108817575304e-05,-2.004989816849532e-05,False
GB0033195214,KGF,10076001W,0.0003647165805143,GBR,BBG000BKH1G4,,LN,-0.04722662440570513,-0.05370037368997782,-1.722433296248196e-05,-1.9585416664548794e-05,False
US64125C1099,NBIX,06292101,0.0006515020887187,USA,BBG000GJS7C1,,US,-0.02940985522300854,-0.02940985522300854,-1.9160582106704635e-05,-1.9160582106704635e-05,False
DE0005140008,DBK,01557601W,0.0004889434875179,DEU,BBG000BBZTH2,,GR,-0.03189792663476876,-0.03873147148289535,-1.559628349339395e-05,-1.8937500743546944e-05,False
SE0000106270,HM B,10227601W,0.0002208072507337,SWE,BBG000BM9J25,,SS,-0.06429587482219068,-0.08403195699571142,-1.4196995353006045e-05,-1.855486539799555e-05,False
US5380341090,LYV,16574601,0.0003801391291532,USA,BBG000FQ7YR4,,US,-0.048696425593418136,-0.048696425593418136,-1.851141681795557e-05,-1.851141681795557e-05,False
FR0000124141,VIE,23861601W,0.0006233879841388,FRA,BBG000CSHJ86,,FP,-0.022699386503067576,-0.029597781123602007,-1.415052479333478e-05,-1.845090110962368e-05,False
JP3435000009,6758,00981801W,0.0003938048869761,JPN,BBG000C26F38,,JP,-0.07395418326693226,-0.046731450519477025,-2.9123518782844044e-05,-1.8403073590051858e-05,False
DK0062498333,NOVO B,00802002W,0.0002466146190653,DNK,BBG000F8TYC6,,DC,-0.06771545827633363,-0.07440419602333737,-1.6699621947650232e-05,-1.8349162459155253e-05,False
JP3218900003,9697,20109901W,-0.0003817756402939,JPN,BBG000BJ8Q27,,JP,0.017564402810304358,0.04747731758521945,-6.705661129283923e-06,-1.8125683320533993e-05,False
US8574771031,STT,01003501,0.0004021568181108,USA,BBG000BKFBD7,,US,-0.04430975023513428,-0.04430975023513428,-1.7819468165845877e-05,-1.7819468165845877e-05,False
JP3811000003,5803,10271701W,0.0001856935218795,JPN,BBG000BB8TW5,,JP,-0.12082122093023251,-0.09497652089098196,-2.2435718032316033e-05,-1.7636524660108346e-05,False
IT0005211237,IG,32281101W,0.0003213141805431,ITA,BBG00D7HHQ64,,IM,-0.04734805372183026,-0.05407330478999084,-1.5213601081940567e-05,-1.737451961785319e-05,False
US22160K1051,COST,02902801,0.0003246999036396,USA,BBG000F6H8W8,,US,-0.05313119113456011,-0.05313119113456011,-1.7251692641648838e-05,-1.7251692641648838e-05,False
US18915M1071,NET,03560401,-0.0002644412337334,USA,BBG001WMKHH5,,US,0.06404247648389094,0.06404247648389094,-1.6935471492742377e-05,-1.6935471492742377e-05,False
GB00B033F229,CNA,21342301W,0.0006511044696794,GBR,BBG000BPFPK7,,LN,-0.019305019305019266,-0.025969148860314206,-1.2569584356745148e-05,-1.6908628896720275e-05,False
US98138H1014,WDAY,01504401,0.0003440204675131,USA,BBG000VC0T95,,US,-0.04907571537097999,-0.04907571537097999,-1.6883050545464364e-05,-1.6883050545464364e-05,False
